iter	MultiClass
0	1.094627742
1	1.090653629
2	1.087016418
3	1.083413068
4	1.080059404
5	1.076796581
6	1.073350347
7	1.070516587
8	1.06793232
9	1.065535365
10	1.062507879
11	1.060167319
12	1.058048122
13	1.055880456
14	1.053430963
15	1.050769324
16	1.048606524
17	1.045968774
18	1.043661658
19	1.041280182
20	1.039858357
21	1.037861555
22	1.035811664
23	1.033204611
24	1.031208849
25	1.02944895
26	1.027179212
27	1.025081914
28	1.023466331
29	1.021756383
30	1.020002661
31	1.018568008
32	1.017145525
33	1.015452745
34	1.014173241
35	1.012635772
36	1.011437057
37	1.009961816
38	1.008363807
39	1.006994207
40	1.005199191
41	1.00396891
42	1.002379396
43	1.000713402
44	0.9992531774
45	0.9978429846
46	0.9962026667
47	0.9949480816
48	0.9938608101
49	0.9929225711
50	0.9917856297
51	0.9905632652
52	0.9891470627
53	0.9878314428
54	0.9867095665
55	0.985223546
56	0.9839410871
57	0.9827110915
58	0.9817083506
59	0.9805364175
60	0.9795100116
61	0.9784619538
62	0.9774450847
63	0.9766732736
64	0.975589171
65	0.9746984424
66	0.9736650725
67	0.9724717481
68	0.9715004071
69	0.9705488208
70	0.9693342876
71	0.9681412638
72	0.9671497223
73	0.966163729
74	0.965201366
75	0.9641706764
76	0.9630126663
77	0.9622411712
78	0.9614660105
79	0.9604087416
80	0.9594780159
81	0.9584645013
82	0.9575714572
83	0.9566682699
84	0.9559023185
85	0.9550110677
86	0.9543702755
87	0.9535140962
88	0.9528435134
89	0.9519578704
90	0.9512456249
91	0.9501200161
92	0.9492747684
93	0.9486772587
94	0.9478956598
95	0.9470869981
96	0.9463279329
97	0.9453212351
98	0.9446209452
99	0.9436148352
100	0.942957089
101	0.9421158145
102	0.94110016
103	0.9402452471
104	0.9394079975
105	0.9387916249
106	0.9380027867
107	0.937252928
108	0.9362933443
109	0.9355327789
110	0.9349209268
111	0.9344528522
112	0.9336882969
113	0.9328984082
114	0.9320923228
115	0.9313238188
116	0.9302573372
117	0.929563422
118	0.9289433263
119	0.9281621101
120	0.9274104526
121	0.9267993276
122	0.9261696683
123	0.9253322528
124	0.9247588864
125	0.92415393
126	0.9233111601
127	0.9225888134
128	0.9220102891
129	0.9212157901
130	0.9205807812
131	0.9197115503
132	0.9189427787
133	0.9181763923
134	0.9175283856
135	0.9170762834
136	0.9166702081
137	0.9162486779
138	0.9155669971
139	0.9148380782
140	0.9143718027
141	0.9137872701
142	0.9133891692
143	0.9128153302
144	0.9120301585
145	0.9115497246
146	0.9109950369
147	0.9104679248
