iter	Passed	Remaining
0	321	321135
1	468	233749
2	610	203011
3	750	186908
4	898	178714
5	1043	172914
6	1206	171091
7	1354	167950
8	1499	165118
9	1650	163435
10	1797	161614
11	1939	159723
12	2086	158417
13	2240	157772
14	2392	157087
15	2539	156203
16	2694	155783
17	2835	154715
18	2978	153806
19	3135	153620
20	3282	153046
21	3429	152463
22	3576	151927
23	3719	151279
24	3858	150467
25	4004	150026
26	4151	149625
27	4295	149113
28	4445	148831
29	4588	148362
30	4730	147871
31	4871	147374
32	5055	148146
33	5217	148249
34	5359	147764
35	5503	147374
36	5643	146889
37	5785	146462
38	5936	146281
39	6077	145863
40	6219	145465
41	6360	145083
42	6500	144671
43	6639	144265
44	6778	143860
45	6919	143495
46	7055	143059
47	7194	142691
48	7336	142392
49	7474	142007
50	7612	141652
51	7755	141397
52	7896	141092
53	8033	140742
54	8175	140474
55	8318	140221
56	8457	139924
57	8601	139700
58	8744	139463
59	8883	139175
60	9026	138946
61	9165	138672
62	9304	138380
63	9446	138160
64	9587	137918
65	9730	137695
66	9872	137473
67	10018	137308
68	10161	137110
69	10302	136875
70	10452	136762
71	10591	136517
72	10731	136269
73	10872	136053
74	11014	135841
75	11151	135581
76	11295	135402
77	11433	135155
78	11572	134919
79	11714	134721
80	11856	134524
81	11997	134318
82	12139	134119
83	12285	133967
84	12425	133752
85	12569	133586
86	12708	133364
87	12849	133167
88	12992	132995
89	13136	132823
90	13281	132673
91	13425	132499
92	13569	132340
93	13705	132100
94	13847	131912
95	13990	131743
96	14127	131517
97	14265	131303
98	14402	131080
99	14542	130882
100	14675	130624
101	14817	130451
102	14958	130271
103	15100	130095
104	15240	129904
105	15383	129744
106	15525	129573
107	15664	129377
108	15806	129210
109	15953	129081
110	16094	128898
111	16234	128718
112	16380	128583
113	16523	128420
114	16661	128220
115	16807	128086
116	16945	127886
117	17088	127729
118	17228	127546
119	17368	127372
120	17505	127170
121	17647	127003
122	17788	126835
123	17989	127085
124	18135	126948
125	18280	126800
126	18427	126669
127	18569	126501
128	18708	126320
129	18854	126183
130	18996	126012
131	19144	125888
132	19285	125718
133	19431	125582
134	19571	125401
135	19713	125239
136	19849	125035
137	19995	124896
138	20143	124776
139	20288	124631
140	20435	124496
141	20574	124314
142	20713	124135
143	20859	123996
144	21001	123838
145	21146	123694
146	21297	123580
147	21436	123405
148	21569	123190
149	21711	123030
150	21852	122865
151	21991	122686
152	22137	122550
153	22284	122421
154	22428	122271
155	22565	122083
156	22707	121928
157	22847	121756
158	22986	121582
159	23127	121421
160	23271	121272
161	23412	121106
162	23556	120963
163	23697	120800
164	23852	120710
165	23997	120566
166	24143	120430
167	24283	120262
168	24425	120104
169	24560	119910
170	24702	119756
171	24841	119584
172	24984	119433
173	25127	119285
174	25267	119118
175	25408	118958
176	25550	118801
177	25686	118621
178	25840	118518
179	25986	118382
180	26132	118245
181	26272	118083
182	26413	117923
183	26555	117767
184	26697	117612
185	26843	117476
186	26983	117311
187	27122	117146
188	27263	116986
189	27404	116829
190	27548	116683
191	27691	116535
192	27832	116378
193	27973	116221
194	28117	116074
195	28259	115919
196	28399	115758
197	28549	115640
198	28691	115485
199	28833	115335
200	28974	115176
201	29122	115047
202	29264	114894
203	29404	114735
204	29548	114590
205	29690	114439
206	29830	114278
207	29976	114139
208	30126	114018
209	30260	113838
210	30406	113701
211	30543	113530
212	30680	113359
213	30820	113200
214	30963	113050
215	31099	112877
216	31243	112734
217	31379	112561
218	31524	112422
219	31671	112291
220	31811	112133
221	31954	111985
222	32099	111845
223	32241	111694
224	32381	111534
225	32521	111377
226	32660	111216
227	32798	111054
228	32943	110915
229	33090	110780
230	33228	110617
231	33366	110455
232	33512	110317
233	33650	110153
234	33791	110000
235	33932	109848
236	34073	109695
237	34212	109538
238	34356	109394
239	34499	109247
240	34635	109079
241	34777	108931
242	34914	108767
243	35058	108623
244	35196	108464
245	35337	108309
246	35477	108155
247	35616	107998
248	35756	107845
249	35896	107690
250	36035	107532
251	36178	107388
252	36322	107245
253	36462	107091
254	36604	106942
255	36746	106794
256	36884	106635
257	37025	106483
258	37167	106335
259	37305	106178
260	37446	106027
261	37587	105875
262	37727	105723
263	37865	105563
264	38004	105409
265	38149	105270
266	38292	105126
267	38433	104974
268	38579	104837
269	38716	104677
270	38853	104518
271	39000	104383
272	39142	104237
273	39283	104087
274	39431	103955
275	39568	103796
276	39703	103631
277	39849	103495
278	39993	103352
279	40143	103225
280	40281	103067
281	40422	102919
282	40565	102775
283	40705	102624
284	40842	102465
285	40982	102312
286	41121	102158
287	41262	102011
288	41405	101866
289	41543	101709
290	41686	101564
291	41829	101421
292	41971	101275
293	42115	101135
294	42257	100987
295	42401	100847
296	42545	100704
297	42685	100553
298	42828	100409
299	42972	100268
300	43117	100130
301	43263	99992
302	43405	99847
303	43547	99700
304	43690	99556
305	43830	99405
306	43970	99256
307	44109	99104
308	44253	98960
309	44395	98816
310	44537	98669
311	44683	98532
312	44823	98382
313	44968	98242
314	45113	98104
315	45253	97954
316	45395	97807
317	45539	97667
318	45677	97512
319	45815	97356
320	45957	97213
321	46101	97070
322	46242	96923
323	46381	96771
324	46524	96627
325	46667	96484
326	46808	96336
327	46947	96185
328	47088	96037
329	47233	95898
330	47374	95749
331	47514	95600
332	47660	95464
333	47806	95325
334	47946	95176
335	48089	95033
336	48229	94884
337	48371	94740
338	48511	94591
339	48652	94443
340	48788	94285
341	48928	94137
342	49071	93993
343	49212	93846
344	49354	93701
345	49495	93554
346	49634	93405
347	49776	93259
348	49916	93110
349	50059	92968
350	50204	92827
351	50343	92677
352	50484	92531
353	50623	92380
354	50763	92232
355	50912	92100
356	51050	91948
357	51187	91795
358	51334	91658
359	51473	91509
360	51616	91365
361	51760	91224
362	51905	91085
363	52044	90934
364	52190	90797
365	52326	90642
366	52466	90493
367	52609	90350
368	52745	90195
369	52887	90050
370	53026	89902
371	53172	89765
372	53309	89610
373	53449	89462
374	53591	89318
375	53728	89166
376	53871	89023
377	54013	88879
378	54156	88735
379	54295	88587
380	54441	88449
381	54586	88310
382	54727	88164
383	54874	88028
384	55018	87887
385	55170	87758
386	55314	87616
387	55461	87480
388	55605	87339
389	55749	87198
390	55899	87066
391	56042	86922
392	56178	86769
393	56320	86625
394	56461	86479
395	56603	86335
396	56745	86190
397	56889	86049
398	57029	85901
399	57170	85755
400	57311	85610
401	57452	85463
402	57591	85315
403	57735	85174
404	57876	85029
405	58019	84886
406	58164	84745
407	58303	84597
408	58444	84451
409	58597	84323
410	58740	84179
411	58880	84033
412	59028	83897
413	59166	83747
414	59305	83599
415	59448	83456
416	59588	83308
417	59727	83160
418	59868	83016
419	60013	82875
420	60155	82732
421	60296	82586
422	60438	82442
423	60579	82297
424	60717	82147
425	60855	81997
426	60996	81853
427	61135	81704
428	61272	81553
429	61422	81420
430	61565	81278
431	61703	81129
432	61849	80990
433	61988	80842
434	62130	80698
435	62273	80555
436	62420	80418
437	62559	80271
438	62704	80130
439	62846	79986
440	62986	79840
441	63126	79693
442	63264	79544
443	63403	79396
444	63541	79248
445	63686	79108
446	63826	78961
447	63967	78817
448	64108	78671
449	64248	78526
450	64388	78380
451	64535	78241
452	64674	78094
453	64814	77949
454	64955	77803
455	65097	77660
456	65235	77512
457	65376	77367
458	65517	77221
459	65656	77074
460	65799	76932
461	65943	76791
462	66083	76645
463	66221	76497
464	66360	76349
465	66493	76196
466	66633	76051
467	66777	75909
468	66914	75760
469	67054	75614
470	67207	75483
471	67351	75342
472	67491	75196
473	67633	75052
474	67774	74908
475	67915	74763
476	68057	74621
477	68196	74474
478	68339	74331
479	68480	74186
480	68620	74041
481	68767	73903
482	68921	73773
483	69073	73640
484	69225	73507
485	69388	73386
486	69538	73250
487	69701	73129
488	69862	73005
489	70012	72870
