Stock Symbols,Variances,Returns,VaR_95,Log_Variances,Volatility,Cluster_labels
AAPL,0.08051302558756473,0.24589217299217775,0.027040233919158996,0.07743595204028039,0.2837481728356409,2
ABBV,0.06849651823513762,0.16231564023650114,0.023877704271414002,0.06625253721783723,0.2617183949116638,2
ACHR,0.7611640653067805,0.44182253360372886,0.07633586443265028,0.5659749911634739,0.8724471704961743,1
ADBE,0.11067077673616547,-0.30853452657168606,0.031034502229827954,0.10496413617240562,0.33267217607753957,0
AEP,0.034436514407982025,0.2732895726332081,0.017303147727837365,0.03385684793753342,0.18557078004896682,2
AI,0.42121392637849703,-0.363868951012115,0.056842134709943815,0.3515113841446568,0.6490099586127296,3
AMAT,0.2138433313241388,0.36440049300187516,0.049263528271607626,0.19379163268186597,0.4624319748072562,3
AMC,0.7480166974748675,-0.2675236781149303,0.05405408235428677,0.5584818295188805,0.8648795855348116,1
AMD,0.3147303659716117,0.20705222062896952,0.054423538443086006,0.27363159971664247,0.5610083475061772,3
AMZN,0.10236982384854701,0.12169485582528307,0.030400202172415014,0.09746224776086687,0.319952846289179,0
ASTS,1.6896379891012394,2.4886418590974264,0.09467747282344019,0.9894066080152222,1.2998607575818417,1
AVGO,0.2873524903185922,0.5688107875107205,0.0437746413685316,0.25258777636570245,0.53605269360259,3
BAC,0.06519572164022673,0.187977876012973,0.02380431410828998,0.06315855846461976,0.25533452888363284,2
BITF,0.971979832261521,0.3964169920150634,0.08181821038900261,0.6790380290802368,0.9858903753772632,1
BMY,0.08507942976501578,0.15939267484604328,0.025999639951336806,0.08165319146960633,0.29168378385679206,2
BRK-B,0.029868166934586948,0.08104501726151331,0.015359615491775336,0.029430800782315834,0.17282409245989677,2
BTBT,1.001725619084123,0.10922285690428252,0.0873786177416297,0.6940096180958188,1.0008624376427178,1
BYND,2.8998455590607373,-0.15963279164153005,0.07931034879650412,1.0986122886681098,1.702893290567773,4
C,0.09649802606045892,0.37066548521069326,0.029838489293926962,0.09212148865572573,0.3106413141558265,0
CL,0.04003281530270404,0.020941353352244993,0.019573755270643756,0.03925226583116728,0.20008202143796938,2
CLOV,0.5693501341078901,0.6924422959327676,0.05898875699036066,0.4506616063488409,0.7545529365842334,1
CMCSA,0.0676643412368587,-0.09180346506314957,0.02431029607208468,0.06547340390801497,0.2601237037197085,2
COIN,0.6298920432834063,0.12237750266913885,0.07322442301864884,0.4885137815108192,0.7936573840665796,1
COST,0.04043290516600695,0.18833181783951372,0.017898058680059004,0.03963688151053051,0.2010793504216854,2
CRM,0.13025136353973782,-0.17048090280121925,0.03531417213115373,0.12244005359728027,0.36090353772128336,0
CRWD,0.22065756982507165,0.2109579826641059,0.04103705901942434,0.19938970520122867,0.46974202475941157,3
CSCO,0.05721428918456819,0.2772534753279486,0.021067216344979878,0.0556374197222709,0.23919508603766965,2
CVNA,0.5012234341307177,0.8929135684012693,0.06782408731702694,0.4062803984224891,0.7079713512076019,3
D,0.04427527340251649,0.18422279215507043,0.020849436379741793,0.043323126546627067,0.21041690379462505,2
DASH,0.16467301779450189,0.12494035766670811,0.039601176419735595,0.1524403762010405,0.40579923335869167,0
DIS,0.07643921764000078,-0.06832837249376832,0.022908028191148566,0.07365857328346104,0.27647643234098773,2
DKNG,0.2263454215543698,-0.25421146282006024,0.050237400796176224,0.2040385446125533,0.4757577340983221,3
DUK,0.027005028212364703,0.20591080874246626,0.015976048630189976,0.026646826954265023,0.16433206690224736,2
ED,0.033407476144872,0.1638845846829879,0.019089516807917706,0.0328615713569439,0.18277712150286207,2
ENVX,0.9322046782396372,0.23469984109843428,0.08344735133916559,0.658661671296787,0.9655074718714699,1
EXC,0.035002914319983654,0.19330893809836291,0.017680026306062135,0.034404242481468277,0.18709065802434832,2
FUBO,3.7133733667364237,0.549041385884858,0.07038116770014013,1.0986122886681098,1.9270115118328752,4
GILD,0.07114052903149745,0.3932559887499108,0.02549657471547162,0.06872399577251363,0.26672181956393715,2
GME,1.241886577820661,0.8844238547039541,0.05508305309574879,0.8073177336381775,1.1143996490580301,1
GNS,1.9793435634570413,-0.38029817232881125,0.11222217115354993,1.0917029955328381,1.4068914540422233,4
GOOG,0.08768858560018433,0.35257183158634087,0.027111047340724226,0.08405488099271778,0.29612258542736036,2
GOOGL,0.09012978942948602,0.3582887581262418,0.02654958033293786,0.0862967620235288,0.30021623778451095,2
HD,0.050197334663536965,-0.0066141001952149765,0.0221442772863365,0.048978084286137896,0.22404761695571984,2
HIMS,1.051687268069836,0.6642332074091318,0.0800653235753126,0.7186625122191946,1.0255180486319273,1
HOOD,0.49923605181611824,0.8888320562896902,0.06816290216339793,0.4049556795822298,0.7065663817477579,3
HSY,0.07119095213644092,0.08953716544478482,0.025539919744658968,0.06877106888458431,0.2668163265927348,2
HUT,1.0180208836656321,1.244406892315646,0.0951586177450433,0.7021172705724348,1.0089702095035473,1
INTC,0.39179410854111374,0.1965904205095809,0.055059903198841575,0.3305936404415775,0.625934588069004,3
INTU,0.11387876972603375,-0.13361783246122333,0.0335779911705778,0.10784831127991731,0.33745928602726843,0
IONQ,1.1640375066937696,1.102546496200095,0.08838707708543347,0.7719756929476076,1.078905698702982,1
JNJ,0.0322972275423667,0.26615825643202046,0.016416971321356,0.031786636776575485,0.1797142942071295,2
JOBY,0.6599506787931659,0.5551550984093073,0.06998151926646112,0.5067878903566725,0.8123734847920419,1
JPM,0.06458173435796741,0.2506120227212012,0.023389697558200973,0.0625819843276934,0.25412936539874215,2
KHC,0.056536335241695636,-0.1672543809029624,0.025723525326281638,0.054995949571264954,0.2377737059510484,2
KMB,0.048213713576355864,-0.08119693663496741,0.01970491565074617,0.04708749027721813,0.2195762135941775,2
KO,0.02550317415210365,0.1555009282850531,0.014918992601148151,0.025183393749402396,0.15969713257320448,2
LCID,0.5894356026638745,-0.26654106900241714,0.0720974190787721,0.4633789863384188,0.7677470955098915,1
LLY,0.13996003720580075,0.17270453019286064,0.03560158615028208,0.1309932067093294,0.3741123323358918,0
LOW,0.05851878836059108,0.02144085267057115,0.024200249861712098,0.05687056142164106,0.24190656948621936,2
LYFT,0.3436840992311228,-0.017703577265807312,0.04802436953724365,0.2954151692585637,0.5862457669195769,3
MA,0.043956991514706334,0.049644376685859144,0.020623698420469627,0.04301829274473441,0.20965922711558949,2
MARA,0.8035068454469108,-0.09716152117495874,0.08465907606950507,0.5897330169998927,0.8963854335311963,1
MCD,0.032703616883149746,0.09201350584440605,0.01729838769634584,0.03218023404519312,0.1808414136284876,2
MDB,0.44774252493166256,0.03429481105332275,0.048130627826064476,0.37000546387897865,0.669135655104152,3
MDLZ,0.044869518792496364,-0.04750820732454912,0.02246858951770825,0.04389201522129096,0.2118242639371051,2
META,0.13027906038252912,0.14475963083379473,0.03147717924262772,0.12246455832634702,0.36094190721296016,0
MRK,0.07068446896273033,0.02528501110430326,0.024620528248723184,0.06829813457835751,0.2658655091634308,2
MSFT,0.05838154077037022,-0.03208670480219177,0.02448129545373745,0.05674089297336839,0.24162272403557208,2
NEE,0.06834924127538343,0.2553481050009165,0.025860571543748434,0.0661146920230384,0.26143687818550665,2
NET,0.2582190218834775,0.5154531695082681,0.041990739629858664,0.22969724637004513,0.5081525576866435,3
NFLX,0.10909991791417643,0.2795853852607654,0.0315046389336332,0.10354880161735464,0.33030276703984246,0
NKE,0.14199592955862542,-0.18792667907136673,0.03069462218431185,0.13277754691803145,0.37682347267470667,0
NVAX,1.269162663991005,0.8052634081582922,0.06357145309448242,0.8194108929553138,1.1265711979235955,1
NVDA,0.2450912335273522,0.4537088478758443,0.04686030433050681,0.21920880717347555,0.4950668980323288,3
OKTA,0.19537755268557838,-0.04027485384089032,0.0395970590077267,0.17846207915372284,0.4420153308264074,0
OPEN,1.6835448464111202,0.9897405363542916,0.09266944322633697,0.9871386244053408,1.2975148732909076,1
ORCL,0.2646699979760112,0.2161272241203508,0.04571855881110043,0.2348112169814737,0.5144608808996183,3
PEP,0.04198242633664306,0.0028356933067572305,0.01992455099131407,0.04112507786903378,0.2048961354848916,2
PFE,0.06144972233881776,0.10288929572515436,0.023648706932723473,0.05963563630915888,0.24789054507749536,2
PG,0.03222638050494347,-0.011245617194376275,0.018773640056995333,0.031718003957677335,0.17951707580323234,2
PLTR,0.3942766933819571,1.1285466880766697,0.051668758180187124,0.3323757814382763,0.6279145589823165,3
PM,0.06102650729778898,0.36808624608824775,0.022138597888193612,0.059236842635309234,0.2470354373319524,2
PYPL,0.14241065646755227,-0.10676928893884728,0.033069789032869834,0.13314064070004045,0.3773733648093785,0
QCOM,0.14696616900456907,-0.04961503511533776,0.03799509533154266,0.13712034251134284,0.3833616686688551,0
QS,0.7948047801542938,0.39613055902295163,0.07028987345087534,0.5848962584514988,0.8915182444315393,1
RBLX,0.27648142049891433,0.3422333924253279,0.04325090831135536,0.24410740255933125,0.5258150059658951,3
RIOT,0.7699593847256149,0.4168499585764564,0.0831510066011163,0.5709565998397597,0.8774732957336165,1
RIVN,0.4738381541933567,0.3812558047540502,0.06261347598869715,0.3878699873270757,0.6883590300078563,3
RKLB,0.7387358694923971,1.7488499514617943,0.07975810305940745,0.5531583374028793,0.8594974517079135,1
ROKU,0.2952838905500191,0.343340115299769,0.047228685327395103,0.25872989162814325,0.5434003041497301,3
RTX,0.05835014422305668,0.390663917272968,0.01872312219771921,0.056711227855641436,0.24155774511088787,2
SAVA,1.475921324751679,-0.2190661397214043,0.08624790661206838,0.9066125791768302,1.21487502433447,1
SBUX,0.1362223165739708,0.08221333792178932,0.027796396619647612,0.12770900236145724,0.36908307543691404,0
SEDG,1.0432194409645976,0.36164270991898095,0.08872123921755404,0.7145267212100513,1.0213811438266314,1
SHOP,0.3350353120302509,0.3748459272806769,0.052219955670094076,0.28895774246138184,0.5788223492836562,3
SKLZ,0.4093723310912785,-0.28216370496416604,0.059490096274503634,0.34314445002465,0.6398221089422266,3
SNOW,0.27391570972915374,0.10055711943905767,0.04432680925432719,0.24209539305313343,0.5233695727964645,3
SO,0.030429889952943105,0.20235951933835136,0.016770822794201612,0.02997608405373047,0.1744416520013013,2
SOFI,0.32918254766478633,0.5611320307647596,0.05978743959393917,0.2845641274578351,0.5737443225556017,3
SPCE,0.8348156541907042,-0.8356884444662107,0.08216430184729973,0.6069440155285,0.913682469017932,1
SRE,0.0657039678356203,0.22046521154523593,0.019020783121766693,0.06363558345790447,0.25632785224321664,2
TMO,0.07678837593079349,-0.039725407392253574,0.02475947589499261,0.07398288483779515,0.2771071560439995,2
TSLA,0.39234288316910876,0.5713031321405381,0.05335909096824687,0.330987855695163,0.6263727988738885,3
TWLO,0.24876403069396422,0.47636569964703257,0.04101113147144819,0.2221542867084675,0.49876249928594696,3
TXN,0.12924901036598513,0.15132539383042815,0.03288481442223434,0.12155281918822093,0.35951218389087336,0
UBER,0.1470949677249998,0.04279703373360371,0.0343923129683803,0.137232631341404,0.38352961779372374,0
UNH,0.17435609746024128,-0.18438722959982085,0.033306396378879555,0.16071999522656225,0.4175596932897634,0
UPST,0.8030405743470849,0.36426108345595837,0.07892523865880241,0.5894744477655803,0.8961253117433325,1
V,0.044374910641273975,0.07126634668800826,0.020038639098357125,0.04341853480560145,0.2106535322307081,2
WEC,0.026449727871156164,0.22451546321810706,0.015143178719900785,0.026105981967932134,0.16263372304401127,2
WMT,0.052781409330797814,0.40278980062603115,0.019540159182942052,0.0514356231225935,0.22974204954861402,2
XEL,0.036072081128681495,0.2524405338769469,0.017068554355492482,0.03543671779600351,0.18992651507538777,2
XOM,0.05149931969557003,0.24654583706372393,0.02361361858714839,0.05021706917569108,0.22693461546350752,2
ZIM,0.48477323559854635,0.9532565670137911,0.055868757471316255,0.3952620572936847,0.6962565874722811,3
ZS,0.1884385986392154,-0.06209928570582776,0.041201073472729166,0.17264034358005895,0.43409514929242804,0
