iter	MultiClass
0	1.098121484
1	1.097630386
2	1.097172938
3	1.096708402
4	1.096218796
5	1.095738155
6	1.095307653
7	1.09483443
8	1.094374409
9	1.09390436
10	1.093459969
11	1.093006623
12	1.092578312
13	1.092111965
14	1.091647008
15	1.091161493
16	1.090703237
17	1.090288053
18	1.089831711
19	1.089365122
20	1.088880301
21	1.088436087
22	1.087998653
23	1.0875215
24	1.087080057
25	1.08664083
26	1.086204716
27	1.085742788
28	1.085256444
29	1.084799455
30	1.084335017
31	1.083894797
32	1.083465458
33	1.082991281
34	1.08251465
35	1.082071589
36	1.081643914
37	1.081191607
38	1.080727065
39	1.080248888
40	1.079805923
41	1.079312296
42	1.078868762
43	1.078443441
44	1.077975625
45	1.077513747
46	1.077123912
47	1.076685618
48	1.076297549
49	1.075886774
50	1.075471129
51	1.075048088
52	1.074606519
53	1.074224954
54	1.073770786
55	1.073321102
56	1.072891405
57	1.072427075
58	1.072027754
59	1.071655603
60	1.071239349
61	1.070749589
62	1.07032206
63	1.069908168
64	1.069509178
65	1.069073311
66	1.068653915
67	1.068286402
68	1.067851838
69	1.067379203
70	1.066942953
71	1.066557505
72	1.066146144
73	1.065712628
74	1.065306791
75	1.064910936
76	1.064495625
77	1.064107328
78	1.063664876
79	1.063239897
80	1.062822377
81	1.062465637
82	1.062050867
83	1.061600697
84	1.061194807
85	1.060788499
86	1.060311468
87	1.059932004
88	1.059519219
89	1.059118568
90	1.058702883
91	1.058263222
92	1.05784585
93	1.057448403
94	1.057063857
95	1.056680881
96	1.056304002
97	1.055883704
98	1.055491982
99	1.055100915
100	1.054730712
101	1.054356613
102	1.05392217
103	1.05352605
104	1.053149733
105	1.052769164
106	1.052338381
107	1.051945101
108	1.051575503
109	1.051184945
110	1.050814506
111	1.050447066
112	1.050040913
113	1.049613458
114	1.049224977
115	1.048828478
116	1.048434784
117	1.048034671
118	1.047648571
119	1.047256354
120	1.04689532
121	1.0465274
122	1.046098744
123	1.045712067
124	1.045344897
125	1.044980375
126	1.04463784
127	1.044264369
128	1.043886256
129	1.043515341
130	1.043129735
131	1.042761894
132	1.042416236
133	1.042045733
134	1.04165188
135	1.04130275
136	1.040973476
137	1.040608953
138	1.040256256
139	1.03990532
140	1.039547889
141	1.039185242
142	1.038830737
143	1.038489572
144	1.03817148
145	1.037816913
146	1.037452375
147	1.037117361
148	1.036764826
149	1.0363849
150	1.036032701
151	1.03565399
152	1.035318369
153	1.034953894
154	1.034626774
155	1.03428032
156	1.033891913
157	1.033534149
158	1.033189082
159	1.032851693
160	1.032510755
161	1.032169845
162	1.03180339
163	1.031450122
164	1.031121906
165	1.030741623
166	1.030407766
167	1.030030236
168	1.029667946
169	1.029312145
170	1.028983925
171	1.028607968
172	1.028262343
173	1.027909494
174	1.027557369
175	1.027221027
176	1.026858209
177	1.026505234
178	1.02619443
179	1.025856884
180	1.025501792
181	1.025196574
182	1.024875091
183	1.024530635
184	1.024173442
185	1.023806385
186	1.023441839
187	1.023106626
188	1.022748201
189	1.022424724
190	1.022109383
191	1.021757756
192	1.021448206
193	1.021143155
194	1.020768528
195	1.02044785
196	1.020131989
197	1.019797224
198	1.019472009
199	1.019135856
200	1.018846962
201	1.01848862
202	1.018180834
203	1.017846099
204	1.017571145
205	1.01723612
206	1.016943382
207	1.01662793
208	1.016306472
209	1.015926453
210	1.015636969
211	1.015303235
212	1.015003241
213	1.014674227
214	1.014404375
215	1.014067862
216	1.013749227
217	1.013420885
218	1.013102509
219	1.012775128
220	1.012440979
221	1.012105206
222	1.011789117
223	1.011453226
224	1.011157326
225	1.010845169
226	1.010536263
227	1.010217946
228	1.009917505
229	1.009600589
230	1.009283161
231	1.008980064
232	1.008637941
233	1.008329891
234	1.008028254
235	1.007743438
236	1.007418985
237	1.007102846
238	1.006794248
239	1.006485892
240	1.006159221
241	1.005867666
242	1.005584606
243	1.005319705
244	1.00501573
245	1.004710185
246	1.00440036
247	1.004070449
248	1.003749592
249	1.003441538
250	1.003137619
251	1.002821556
252	1.002538367
253	1.002232709
254	1.001920796
255	1.001635499
256	1.001333932
257	1.001035067
258	1.000740503
259	1.000441795
260	1.000159322
261	0.9998690312
262	0.9995779024
263	0.9992848058
264	0.9989979452
265	0.9986980477
266	0.9984298864
267	0.9981183843
268	0.9978099773
269	0.9974991284
270	0.9971958031
271	0.9968802685
272	0.9965883612
273	0.99629444
274	0.9960171778
275	0.9957189132
276	0.9954461468
277	0.9951395939
278	0.9948775668
279	0.9945629263
280	0.9942739029
281	0.9939605069
282	0.9937019953
283	0.9933882586
284	0.9930923012
285	0.9928095233
286	0.992512028
287	0.9922414369
288	0.9919391575
289	0.991643971
290	0.9913481399
291	0.9910513635
292	0.9907728781
293	0.9904868381
294	0.9902198886
295	0.9899261874
296	0.9896451728
297	0.989359028
298	0.9890776181
299	0.988784418
300	0.9884903885
301	0.9881990856
302	0.9879211589
303	0.987638304
304	0.98734331
305	0.9870631962
306	0.9867704342
307	0.9864981854
308	0.9862358486
309	0.9859429571
310	0.9856851539
311	0.9854149158
312	0.9851366884
313	0.984849342
314	0.9845927155
315	0.9843157149
316	0.9840259385
317	0.9837649821
318	0.9835049818
319	0.983260303
320	0.9830054433
321	0.9827146003
322	0.9824376499
323	0.982151814
324	0.9818441096
325	0.9815693403
326	0.9812890709
327	0.9809796517
328	0.9807166067
329	0.9804579657
330	0.9801777123
331	0.9799026725
332	0.9796389835
333	0.979379811
334	0.9791027924
335	0.9788085672
336	0.9785606544
337	0.9782643199
338	0.9780100988
339	0.9777318171
340	0.9774957035
341	0.9772460002
342	0.9769824856
343	0.9767181453
344	0.9764325318
345	0.9762045811
346	0.9759456474
347	0.9757103014
348	0.9754541109
349	0.9752020583
350	0.9749363326
351	0.9746873419
352	0.9744176611
353	0.9741567893
354	0.973909828
355	0.9736237509
356	0.9733533547
357	0.9730886462
358	0.9728114727
359	0.9725611082
360	0.9723295509
361	0.9720766801
362	0.9718600249
363	0.9715832828
364	0.9713491645
365	0.9711036486
366	0.9708681103
367	0.9705898452
368	0.9703638454
369	0.9701129211
370	0.9698760004
371	0.9696203672
372	0.9693317775
373	0.9690988591
374	0.9688477526
375	0.9685913451
376	0.9683474367
377	0.9680855566
378	0.9678263603
379	0.9675834225
380	0.9673306902
381	0.9670921524
382	0.9668362706
383	0.9666003889
