iter	Passed	Remaining
0	1285	3856458
1	2429	3641221
2	3502	3498755
3	4541	3401700
4	5494	3291049
5	6403	3195224
6	7531	3220080
7	8278	3096112
8	8966	2980003
9	9855	2946860
10	10637	2890389
11	11437	2847935
12	12301	2826435
13	13150	2804867
14	13957	2777446
15	14794	2759222
16	15597	2736821
17	16401	2717107
18	17329	2718851
19	18180	2708861
20	19045	2701752
21	19798	2679989
22	20535	2658000
23	21296	2640802
24	22089	2628610
25	22905	2620005
26	23724	2612334
27	24576	2608572
28	25400	2602240
29	26208	2594689
30	26914	2577723
31	27617	2561550
32	28355	2549429
33	29082	2537039
34	29796	2524158
35	30547	2515046
36	31384	2513299
37	32116	2503416
38	32831	2492685
39	33527	2481033
40	34250	2471868
41	34996	2464751
42	35706	2455441
43	36656	2462620
44	37351	2452721
45	38142	2449415
46	38843	2440554
47	39616	2436404
48	40402	2433195
49	41232	2432709
50	42103	2434550
51	42975	2436393
52	43776	2434150
53	44495	2427493
54	45241	2422484
55	46096	2423381
56	47028	2428174
57	47762	2422727
58	48503	2417797
59	49232	2412404
60	49936	2405949
61	50653	2400314
62	51365	2394597
63	52099	2390051
64	52814	2384797
65	53559	2380979
66	54308	2377417
67	55023	2372494
68	55723	2367021
69	56457	2363151
70	57247	2361647
71	58004	2358861
72	58711	2354084
73	59461	2351135
74	60238	2349303
75	60953	2345116
76	61662	2340768
77	62364	2336284
78	63108	2333406
79	63859	2330854
80	64580	2327297
81	65421	2328058
82	66201	2326626
83	66942	2323870
84	67669	2320673
85	68383	2317074
86	69132	2314762
87	69867	2311982
88	70625	2310011
89	71399	2308588
90	72112	2305236
91	72811	2301486
92	73481	2296887
93	74156	2292530
94	74844	2288667
95	75539	2285083
96	76273	2282708
97	77072	2282279
98	77797	2279716
99	78470	2275646
100	79181	2272751
101	79875	2269394
102	80552	2265644
103	81299	2263881
104	82010	2261154
105	82763	2259611
106	83418	2255418
107	84126	2252720
108	84799	2249122
109	85463	2245362
110	86133	2241797
111	86793	2238038
112	87433	2233813
113	88140	2231346
114	88822	2228279
115	89517	2225579
116	90205	2222757
117	90929	2220828
118	91638	2218566
119	92331	2215967
120	93040	2213749
121	93812	2213048
122	94528	2211042
123	95202	2208078
124	95921	2206200
125	96595	2203306
126	97265	2200351
127	97969	2198182
128	98699	2196641
129	99454	2195640
130	100121	2192738
131	100806	2190259
132	101494	2187852
133	102185	2185541
134	102858	2182879
135	103543	2180494
136	104210	2177777
137	105001	2177648
138	105795	2177569
139	106659	2178896
140	107348	2176663
141	108085	2175407
142	108845	2174625
143	109527	2172304
144	110262	2171026
145	110992	2169683
146	111718	2168257
147	112406	2166105
148	113096	2164015
149	113783	2161887
150	114482	2159999
151	115118	2156960
152	115804	2154863
153	116458	2152221
154	117218	2151533
155	117933	2150016
156	118637	2148316
157	119337	2146557
158	120009	2144320
159	120689	2142231
160	121358	2139982
161	122082	2138702
162	122939	2139743
163	123680	2138773
164	124403	2137486
165	125118	2136065
166	125788	2133892
167	126454	2131658
168	127115	2129374
169	127806	2127596
170	128539	2126537
171	129269	2125424
172	129944	2123431
173	130617	2121408
174	131310	2119720
175	132005	2118084
176	132652	2115699
177	133328	2113788
178	134112	2113576
179	134804	2111943
180	135476	2109989
181	136133	2107822
182	136856	2106694
183	137530	2104817
184	138201	2102906
185	138917	2101684
186	139631	2100443
187	140316	2098783
188	140998	2097072
189	141644	2094842
190	142310	2092931
191	143024	2091727
192	143745	2090642
193	144421	2088893
194	145127	2087602
195	145848	2086531
196	146512	2084638
197	147251	2083835
198	147909	2081876
199	148603	2080442
200	149258	2078477
201	149937	2076857
202	150674	2076042
203	151381	2074819
204	152121	2074050
205	152880	2073537
206	153587	2072324
207	154277	2070877
208	154949	2069205
209	155634	2067715
210	156343	2066552
211	157183	2067108
212	158186	2069792
213	159019	2070229
214	159693	2068594
215	160379	2067110
216	161098	2066065
217	161798	2064792
218	162548	2064148
219	163283	2063312
220	164061	2063019
221	164762	2061760
222	165412	2059862
223	166383	2061970
224	167187	2061973
225	167982	2061878
226	168684	2060620
227	169414	2059727
228	170123	2058565
229	170799	2057018
230	171474	2055461
231	172159	2054037
232	172829	2052441
233	173619	2052276
234	174326	2051112
235	174997	2049542
236	175775	2049235
237	176491	2048188
238	177250	2047654
239	178026	2047306
240	178841	2047401
241	179631	2047201
242	180278	2045382
243	180982	2044214
244	181716	2043384
245	182429	2042318
246	183127	2041089
247	183891	2040606
248	184608	2039587
249	185411	2039525
250	186131	2038547
251	186859	2037663
252	187582	2036720
253	188282	2035527
254	188984	2034364
255	189665	2032976
256	190488	2033108
257	191253	2032620
258	191954	2031452
259	192636	2030091
260	193339	2028950
261	194090	2028317
262	194832	2027590
