date,Headline,neg,neu,pos,compound,capital,Sentiment
26/09/2022,"Two lenders, Virgin Money and Skipton, say they will stop mortgage offers to new customers.",0.136,0.864,0,-0.296,NEGATIVE,negative
26/09/2022,The four stamps will be the first set approved by King Charles III to mark his mother's reign.,0,0.859,0.141,0.4215,POSITIVE,positive
26/09/2022,The 14-year-old girl viewed material about self-harm and suicide before she took her own life.,0.243,0.757,0,-0.6705,NEGATIVE,negative
26/09/2022,"The Bank of England said it was ""monitoring developments closely"" after the pound hit a record low.",0.123,0.877,0,-0.2732,NEGATIVE,negative
26/09/2022,"The house in Liverpool, dubbed the House of Sin, was expected to fetch £250,000 at auction.",0.194,0.806,0,-0.5574,NEGATIVE,negative
26/09/2022,It comes as some trial dates have been put off for months due to the criminal barristers' strike.,0.234,0.766,0,-0.5994,NEGATIVE,negative
26/09/2022,The former US intelligence contractor leaked a vast US intelligence surveillance programme in 2013.,0.124,0.541,0.335,0.5994,POSITIVE,positive
26/09/2022,England fight back from two goals down before being held to a draw in a six-goal thriller against Germany.,0.137,0.789,0.074,-0.296,NEGATIVE,negative
26/09/2022,"Reports say people with no military experience, or who are too old or disabled, are being enlisted.",0.121,0.879,0,-0.296,NEGATIVE,negative
26/09/2022,Sir Keir Starmer will tell Labour's conference he has brought the party back to the centre ground.,0,0.856,0.144,0.4019,POSITIVE,positive
26/09/2022,"Many useful members of this ""iconic"" plant family are at risk of extinction, according to a study.",0.111,0.737,0.153,0.2023,POSITIVE,positive
27/09/2022,Moscow-installed officials claim the so-called referendums show almost total support for joining Russia.,0,0.832,0.168,0.3446,POSITIVE,positive
27/09/2022,A study reveals the extent of controlling behaviour in cases where victims are killed by current or ex-partners.,0.312,0.688,0,-0.7783,NEGATIVE,negative
27/09/2022,"Emma Jenkinson carries cockatiel Snowy in a special carrier to try and lure Pippy, its mate, home.",0,0.847,0.153,0.4019,POSITIVE,positive
27/09/2022,Apple TV's new film The Greatest Beer Run Ever follows an unusual true story from the Vietnam War.,0.151,0.579,0.27,0.4767,POSITIVE,positive
27/09/2022,Florida's vulnerable Tampa Bay area could be struck directly for the first time in a century.,0.231,0.769,0,-0.4404,NEGATIVE,negative
27/09/2022,"Liverpool's dock workers have called on Keir Starmer to ""show solidarity"" with them on the picket line.",0,0.879,0.121,0.296,POSITIVE,positive
27/09/2022,Their headmaster admits teachers are struggling to tell some of the siblings apart.,0.175,0.688,0.138,-0.1531,NEGATIVE,negative
27/09/2022,Data watchdog says it is naming and shaming seven organisations for failing to share information.,0.178,0.703,0.119,-0.2732,NEGATIVE,negative
27/09/2022,The value of the pound touched a record low against the dollar on Monday after big tax cuts were announced.,0.189,0.705,0.106,-0.2263,NEGATIVE,negative
27/09/2022,"Breakfast clubs will be funded by returning the top rate of income tax to 45%, Labour say.",0,0.899,0.101,0.2023,POSITIVE,positive
27/09/2022,Some economists predict the Bank of England will raise the interest rate to as much as 5.8% by next spring.,0,0.864,0.136,0.4588,POSITIVE,positive
27/09/2022,"Steven Knight says the show could return with new writers, taking the story into the 1950s.",0.004349595,0.82212776,0.17352268,0.986005247,POSITIVE,positive
27/09/2022,"Russia is poised to annex Ukrainian regions, while Ukraine blames Moscow for gas pipeline damage.",0.296,0.603,0.101,-0.5994,NEGATIVE,negative
27/09/2022,"The Bank of England said it was ""monitoring developments closely"" after the pound hit a record low.",0.123,0.877,0,-0.2732,NEGATIVE,negative
27/09/2022,"Preparing to host the World Cup of 1994, the USA played 91 friendlies in a crash course in international football - a plan that worked.",0.099,0.696,0.205,0.4404,POSITIVE,positive
27/09/2022,Protesters marched against a state funeral for Abe even as local and global leaders gathered to honour him.,0.199,0.633,0.167,0.0772,POSITIVE,positive
27/09/2022,The BBC has spoken to Iranians detained by security forces during the protests sweeping the country.,0.23,0.65,0.12,-0.296,NEGATIVE,negative
27/09/2022,Delivery rider Luciano is just one of those going to extreme measures to survive Brazil's cost of living crisis.,0.186,0.814,0,-0.6249,NEGATIVE,negative
27/09/2022,As Hurricane Ian makes its way through the Caribbean towards the US - we ask if climate change is making these storms more severe?,0.116,0.884,0,-0.4391,NEGATIVE,negative
27/09/2022,Interest rates are at their highest level for 14 years. Here is what it means for you.,0,0.842,0.158,0.4588,POSITIVE,positive
27/09/2022,Keir Starmer's speech at Labour's conference and the impact of rate rises on mortgages lead the papers.,0.054437492,0.86809367,0.077468894,0.995039046,POSITIVE,positive
27/09/2022,Massive queues have formed as men desperately try to flee Russia to avoid being sent to fight in Ukraine.,0.316,0.684,0,-0.7506,NEGATIVE,negative
27/09/2022,Kate talked style with one boy as she and William visited Anglesey as Prince and Princess of Wales.,0.013841763,0.9065249,0.07963336,0.998824298,POSITIVE,positive
27/09/2022,The singer is accused of failing to pay €14.5m (£12.9m) in tax and could face eight years in jail.,0.301,0.699,0,-0.7096,NEGATIVE,negative
27/09/2022,"People should prepare for a rampant flu season, say experts, based on what Australia has experienced.",0.157,0.843,0,-0.3818,NEGATIVE,negative
27/09/2022,Sussex Police apologises after a row on social media over a child sex offender's gender identity.,0,0.878,0.122,0.2023,POSITIVE,positive
27/09/2022,England Under-21s deliver a fine performance as they come from behind to defeat European champions Germany 3-1 in a friendly at Bramall Lane.,0.106,0.599,0.296,0.6597,POSITIVE,positive
27/09/2022,"More and more people are being forced to turn to additional jobs, according to a report by Royal London.",0.15,0.85,0,-0.4588,NEGATIVE,negative
27/09/2022,"While each mass shooting in the US is unique, experts say the killers share some things in common.",0.191,0.711,0.098,-0.4767,NEGATIVE,negative
27/09/2022,The trial of five militia members could reveal to what extent the 6 January riot was planned.,0.194,0.806,0,-0.5574,NEGATIVE,negative
27/09/2022,A depleted Scotland earn promotion to the top tier of the Nations League after a defensively disciplined and brave display clinches the point they needed against Ukraine.,0.056,0.764,0.181,0.5574,POSITIVE,positive
27/09/2022,Northern Ireland retain their Nations League third-tier status as a dismal campaign ends with a disappointing 3-1 defeat by Greece in Athens.,0.375,0.625,0,-0.8807,NEGATIVE,negative
27/09/2022,Alvaro Morata scores an 88th-minute winning goal as Spain beat Portugal in Braga to qualify for the Nations League finals.,0,0.848,0.152,0.5267,POSITIVE,positive
27/09/2022,"English cricket must ""find some compromise"" over ""radical"" plans to overhaul the domestic calendar amid opposition, says ECB chair Richard Thompson.",0.13857692,0.8022296,0.05919355,0.997446895,NEGATIVE,negative
27/09/2022,The self-styled referendums in east and south Ukraine are dismissed as a sham by Kyiv and the West.,0.70001745,0.29330763,0.006675002,0.999201953,NEGATIVE,negative
27/09/2022,ITV's chief executive defends This Morning's under-fire hosts Holly Willoughby and Phillip Schofield.,0.025891824,0.72693545,0.24717271,0.748326719,NEGATIVE,negative
27/09/2022,Phil Mickelson and Ian Poulter drop out of a lawsuit filed against the PGA Tour over its decision to suspend players who participated on the new LIV Golf circuit.,0.201,0.799,0,-0.6486,NEGATIVE,negative
27/09/2022,An investigation is ongoing after the aircraft overshot the runway at Montpellier Airport.,0.3340342,0.64614654,0.019819269,0.989528835,NEGATIVE,negative
27/09/2022,"Amateur photographer Chris Lowther expected images of the night sky, but not the Northern Lights.",0.25435805,0.6992919,0.046350032,0.99242425,NEGATIVE,negative
27/09/2022,"The BBC meets four of the 11,000 people keeping the complex Sellafield nuclear site going.",0.046969082,0.87717694,0.07585397,0.997159839,POSITIVE,positive
27/09/2022,"It will cover the Christmas build-up, including key shopping days Black Friday and Cyber Monday.",0.006120443,0.7238527,0.27002683,0.960189164,POSITIVE,positive
27/09/2022,The central bank's chief economist signalled in a speech it could not be 'indifferent' over the pound's slump.,0.50296646,0.4635245,0.03350907,0.996828496,POSITIVE,positive
27/09/2022,The shortlist of seven possible UK host cities for next year's song contest is whittled down to two.,0.05653713,0.9043453,0.039117686,0.999669075,NEGATIVE,negative
27/09/2022,BBC Sport's Phil McNulty addresses the major issues facing England manager Gareth Southgate as he finalises his plans for Qatar.,0.15652321,0.8052011,0.038275674,0.985689282,POSITIVE,positive
28/09/2022,"Arsenal manager Jonas Eidevall says he has ""never experienced anything like"" their trip to Amsterdam where they beat Ajax to qualify for the group stage of the Women's Champions League.",0.063,0.836,0.101,0.316,POSITIVE,positive
28/09/2022,Some economists predict the Bank of England will raise the interest rate to as much as 5.8% by next spring.,0,0.864,0.136,0.4588,POSITIVE,positive
28/09/2022,This is a huge intervention that will buy the government time but not solve its problems.,0.102,0.651,0.246,0.3917,POSITIVE,positive
28/09/2022,How a podcast may have solved the mystery of a dead child washed up on a Fife beach in 1971.,0.201,0.701,0.098,-0.4939,NEGATIVE,negative
28/09/2022,Four-time Olympic champion Mo Farah withdraws from Sunday's London Marathon with a hip injury.,0.158,0.621,0.22,0.2732,POSITIVE,positive
28/09/2022,"The UK government proposals will work at ""cross purposes"" with the cost-of-living fight, the IMF says.",0.148,0.852,0,-0.3818,NEGATIVE,negative
28/09/2022,Rangers miss out on a Champions League group stage debut after Benfica's extra-time double in Portugal.,0.089,0.722,0.189,0.4215,POSITIVE,positive
28/09/2022,"'Category A' Super League clubs would not be able to be relegated under IMG recommendations, following the sport's ""most comprehensive"" consultation.",0,0.754,0.246,0.7346,POSITIVE,positive
28/09/2022,"A mental health hospital has traumatised a vulnerable young woman with autism, her family says.",0.325,0.675,0,-0.6486,NEGATIVE,negative
28/09/2022,"He urges the music industry to take the issue more seriously, as he's honoured for his charity work.",0.087,0.652,0.261,0.6133,POSITIVE,positive
28/09/2022,"Government departments are also being told to find cuts to help reduce spending, the BBC is told.",0.111,0.754,0.136,0.128,POSITIVE,positive
28/09/2022,"The number of people complaining to HMRC about companies claiming tax repayments on their behalf has tripled in two years, a BBC investigation finds.",0.075,0.871,0.054,-0.128,NEGATIVE,negative
28/09/2022,"The EU, US and Nato say the Nord Stream pipeline leaks appear to have been caused by sabotage.",0.167,0.833,0,-0.5267,NEGATIVE,negative
28/09/2022,The tax-cutting plans in Friday's mini-budget sparked turmoil for the UK economy.,0.185,0.815,0,-0.3612,NEGATIVE,negative
28/09/2022,Chelsea recover from an early setback to beat West Ham in the Women's Super League at Kingsmeadow.,0,0.804,0.196,0.5994,POSITIVE,positive
28/09/2022,"Keir Starmer thinks the UK's economic turmoil presents him with a chance, says our political editor.",0.143,0.743,0.114,-0.128,NEGATIVE,negative
28/09/2022,"Presidential candidate Lula is ahead in the polls, despite a legacy tainted by corruption scandals.",0.198,0.802,0,-0.4939,NEGATIVE,negative
28/09/2022,"The country singer on a brush with death, standing up to sexism, and her ""celebratory"" new album.",0.206,0.794,0,-0.5994,NEGATIVE,negative
28/09/2022,"Goals from Fran Kirby, Sam Kerr and Millie Bright help Chelsea turn around an early deficit and beat London rivals West Ham 3-1 in the Women's Super League.",0.075,0.663,0.262,0.7783,POSITIVE,positive
28/09/2022,"How does a government borrow money, and when does it have to pay it back?",0.097,0.903,0,-0.1027,NEGATIVE,negative
28/09/2022,The chancellor is under pressure to do a U-turn but some MPs are prepared to give him more time.,0.08,0.802,0.118,0.1901,POSITIVE,positive
28/09/2022,"BBC Panorama goes undercover and finds patients being humiliated, verbally abused and bullied by staff.",0.45,0.55,0,-0.8689,NEGATIVE,negative
28/09/2022,Millions of people will be offered a vaccine to protect themselves against flu this winter.,0.1371723,0.65171957,0.2111081,0.973231792,NEGATIVE,negative
28/09/2022,The BBC’s Abdujalil Abdurasulov reports from Ukrainian front line positions in the Kherson region,0.15462035,0.82137465,0.024005095,0.742595792,POSITIVE,positive
28/09/2022,Ron Gittins transformed his rented home in Birkenhead and now campaigners are trying to buy it.,0.11454995,0.7844667,0.100983374,0.989058077,NEGATIVE,negative
28/09/2022,"The US dollar is at a 20-year high, and that affects businesses and households across the world.",0.43867305,0.50033027,0.06099671,0.998315454,POSITIVE,positive
